x,DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6,DLC_mode7,DLC_mode8,DLC_mode9,DLC_mode10
0.0027,1.000000000000e+00,9.816334678368e-01,9.652276266535e-01,9.485411148674e-01,9.320315812326e-01,9.156651478198e-01,8.994439410372e-01,8.833679046044e-01,8.674370921757e-01,8.516515827749e-01
0.0028,1.000000000000e+00,9.809538765077e-01,9.639466439242e-01,9.466540710492e-01,9.295506308751e-01,9.126012155764e-01,8.958080335352e-01,8.791710324936e-01,8.626902747914e-01,8.463658496580e-01
0.0029,1.000000000000e+00,9.802743327951e-01,9.626661583491e-01,9.447683864569e-01,9.270723055202e-01,9.095415799097e-01,8.921785005668e-01,8.749830200926e-01,8.579552104237e-01,8.410951719736e-01
0.0030,1.000000000000e+00,9.795948368189e-01,9.613861705078e-01,9.428840625104e-01,9.245966078317e-01,9.064862451722e-01,8.885553486640e-01,8.708038766528e-01,8.532319116366e-01,8.358395662434e-01
0.0031,1.000000000000e+00,9.789153886995e-01,9.601066809811e-01,9.410011006330e-01,9.221235404817e-01,9.034352157330e-01,8.849385843874e-01,8.666336114716e-01,8.485203910617e-01,8.305990490845e-01
0.0032,1.000000000000e+00,9.782359885572e-01,9.588276903507e-01,9.391195022518e-01,9.196531061506e-01,9.003884959775e-01,8.813282143260e-01,8.624722338913e-01,8.438206613974e-01,8.253736372069e-01
0.0033,1.000000000000e+00,9.775566365126e-01,9.575491991998e-01,9.372392687974e-01,9.171853075274e-01,8.973460903073e-01,8.777242450968e-01,8.583197532986e-01,8.391327354073e-01,8.201633474109e-01
0.0034,1.000000000000e+00,9.768773326867e-01,9.562712081128e-01,9.353604017042e-01,9.147201473093e-01,8.943080031403e-01,8.741266833445e-01,8.541761791234e-01,8.344566259183e-01,8.149681965848e-01
0.0035,1.000000000000e+00,9.761980772004e-01,9.549937176749e-01,9.334829024101e-01,9.122576282016e-01,8.912742389099e-01,8.705355357411e-01,8.500415208386e-01,8.297923458199e-01,8.097882017024e-01
0.0036,1.000000000000e+00,9.755188701750e-01,9.537167284729e-01,9.316067723564e-01,9.097977529179e-01,8.882448020658e-01,8.669508089854e-01,8.459157879590e-01,8.251399080624e-01,8.046233798204e-01
