x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.346,4.043374732883e+00,2.533946413671e+01,7.095075147301e+01,1.390371551199e+02,2.298355075442e+02,3.433337730667e+02,4.795393920486e+02,6.384306686355e+02,8.200303162385e+02,1.024341309175e+03
0.348,4.043375149027e+00,2.533945927120e+01,7.095076317459e+01,1.390371658766e+02,2.298353953650e+02,3.433339602327e+02,4.795393798299e+02,6.384302189522e+02,8.200310935471e+02,1.024340980115e+03
0.350,4.043375562726e+00,2.533945439538e+01,7.095077537038e+01,1.390371742489e+02,2.298352859907e+02,3.433341552553e+02,4.795393377740e+02,6.384298030222e+02,8.200318936512e+02,1.024340523124e+03
0.352,4.043375973981e+00,2.533944951122e+01,7.095078804659e+01,1.390371802158e+02,2.298351797694e+02,3.433343572075e+02,4.795392661653e+02,6.384294245376e+02,8.200327074294e+02,1.024339944705e+03
0.354,4.043376382794e+00,2.533944462065e+01,7.095080118891e+01,1.390371837610e+02,2.298350770395e+02,3.433345651294e+02,4.795391654854e+02,6.384290868580e+02,8.200335256042e+02,1.024339253090e+03
0.356,4.043376789166e+00,2.533943972560e+01,7.095081478257e+01,1.390371848730e+02,2.298349781281e+02,3.433347780324e+02,4.795390364091e+02,6.384287929807e+02,8.200343388482e+02,1.024338458126e+03
0.358,4.043377193101e+00,2.533943482800e+01,7.095082881234e+01,1.390371835451e+02,2.298348833506e+02,3.433349949040e+02,4.795388798005e+02,6.384285455140e+02,8.200351378904e+02,1.024337571126e+03
0.360,4.043377594599e+00,2.533942992977e+01,7.095084326256e+01,1.390371797756e+02,2.298347930092e+02,3.433352147129e+02,4.795386967072e+02,6.384283466543e+02,8.200359136214e+02,1.024336604716e+03
0.362,4.043377993662e+00,2.533942503279e+01,7.095085811711e+01,1.390371735675e+02,2.298347073921e+02,3.433354364135e+02,4.795384883531e+02,6.384281981662e+02,8.200366571979e+02,1.024335572653e+03
0.364,4.043378390294e+00,2.533942013898e+01,7.095087335951e+01,1.390371649289e+02,2.298346267727e+02,3.433356589513e+02,4.795382561303e+02,6.384281013674e+02,8.200373601428e+02,1.024334489628e+03
0.366,4.043378784496e+00,2.533941525021e+01,7.095088897284e+01,1.390371538723e+02,2.298345514083e+02,3.433358812676e+02,4.795380015898e+02,6.384280571166e+02,8.200380144425e+02,1.024333371055e+03
0.368,4.043379176271e+00,2.533941036834e+01,7.095090493984e+01,1.390371404156e+02,2.298344815398e+02,3.433361023047e+02,4.795377264314e+02,6.384280658059e+02,8.200386126378e+02,1.024332232859e+03
0.370,4.043379565621e+00,2.533940549523e+01,7.095092124287e+01,1.390371245809e+02,2.298344173906e+02,3.433363210111e+02,4.795374324922e+02,6.384281273576e+02,8.200391479090e+02,1.024331091240e+03
